So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH,So Mon Thi
3000181,7.2,6.5,5.6,4.5,6.0,5.25,5.25,-1.0,-1.0,-1.0,-1.0,6
3000182,6.2,6.5,3.2,-1.0,-1.0,-1.0,-1.0,5.5,7.0,8.75,7.08,6
3000183,4.6,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,5.5,-1.0,-1.0,4
3000184,7.2,7.25,6.4,-1.0,-1.0,-1.0,-1.0,5.0,7.0,7.25,6.42,6
3000185,6.8,7.5,6.2,-1.0,-1.0,-1.0,-1.0,3.0,5.75,8.5,5.75,6
3000186,6.4,6.5,4.6,-1.0,-1.0,-1.0,-1.0,4.75,6.0,8.0,6.25,6
3000187,3.2,2.75,-1.0,-1.0,-1.0,-1.0,-1.0,2.75,4.25,-1.0,-1.0,4
3000188,8.6,6.0,8.8,7.0,5.75,4.5,5.75,-1.0,-1.0,-1.0,-1.0,6
3000189,7.6,6.25,4.4,4.5,5.75,5.75,5.33,-1.0,-1.0,-1.0,-1.0,6
3000190,6.4,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,7.5,-1.0,-1.0,4
3000191,4.6,3.25,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,6.25,-1.0,-1.0,4
3000192,9.0,5.75,9.0,8.25,5.75,5.5,6.5,-1.0,-1.0,-1.0,-1.0,6
3000193,5.2,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.25,5.75,-1.0,-1.0,4
3000194,3.8,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.75,5.25,-1.0,-1.0,4
3000195,8.6,5.75,4.0,8.0,8.25,2.5,6.25,-1.0,-1.0,-1.0,-1.0,6
3000196,9.2,5.75,8.2,9.0,8.25,3.75,7.0,-1.0,-1.0,-1.0,-1.0,6
3000197,8.0,7.0,6.2,7.0,6.75,5.25,6.33,-1.0,-1.0,-1.0,-1.0,6
3000198,8.0,6.5,7.2,7.0,3.5,6.0,5.5,-1.0,-1.0,-1.0,-1.0,6
3000199,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.75,5.0,-1.0,-1.0,4
